 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
53 1.4871233877e+07 1.4799947545e+00 6.1744905191e+00 7.9233997737e+03 1.3187260302e+00
54 1.4347929599e+07 1.4999946723e+00 6.5552562947e+00 8.0316128559e+03 1.3224110145e+00
55 1.3978322988e+07 1.5199945595e+00 6.9228902887e+00 8.1402242110e+03 1.3229643536e+00
56 1.3612993580e+07 1.5399944492e+00 7.3038511187e+00 8.2469826690e+03 1.3239236625e+00
57 1.3095632766e+07 1.5599943829e+00 7.7426285664e+00 8.3525188131e+03 1.3288820645e+00
58 1.2690547360e+07 1.5799942930e+00 8.1723774912e+00 8.4568706883e+03 1.3317784457e+00
59 1.2557809443e+07 1.5999941304e+00 8.5254010971e+00 8.5555211192e+03 1.3290509404e+00
60 1.2207091137e+07 1.6199940322e+00 8.9689589300e+00 8.6560477272e+03 1.3317076211e+00
61 1.1779003452e+07 1.6399939625e+00 9.4626826027e+00 8.7577101017e+03 1.3362975086e+00
62 1.1397068813e+07 1.6599938847e+00 9.9633471160e+00 8.8575939320e+03 1.3404426866e+00
63 1.1086919677e+07 1.6799937886e+00 1.0456040191e+01 8.9547939297e+03 1.3435368474e+00
64 1.0851843434e+07 1.6999936708e+00 1.0928337455e+01 9.0478846914e+03 1.3454268373e+00
65 1.0574990203e+07 1.7199935707e+00 1.1446047142e+01 9.1420750800e+03 1.3486999768e+00
66 1.0388239812e+07 1.7399934412e+00 1.1939454660e+01 9.2313399274e+03 1.3509519756e+00
67 1.0159649357e+07 1.7599933293e+00 1.2474382638e+01 9.3213469968e+03 1.3543450732e+00
68 9.8177826253e+06 1.7799932660e+00 1.3085270544e+01 9.4158484935e+03 1.3594072496e+00
69 9.5475781629e+06 1.7999931796e+00 1.3689742380e+01 9.5074113239e+03 1.3637985459e+00
70 9.2666248194e+06 1.8199931023e+00 1.4321241585e+01 9.5982166097e+03 1.3686310677e+00
71 9.0444167122e+06 1.8399930040e+00 1.4944078380e+01 9.6859548874e+03 1.3728618495e+00
72 8.9329179308e+06 1.8599928580e+00 1.5529662640e+01 9.7675917216e+03 1.3762051117e+00
73 8.6025033201e+06 1.8799928173e+00 1.6258700356e+01 9.8593406779e+03 1.3820517938e+00
74 8.4851287425e+06 1.8999926786e+00 1.6893199604e+01 9.9401361419e+03 1.3859528113e+00
75 8.1969811851e+06 1.9199926282e+00 1.7648805099e+01 1.0029104419e+04 1.3915874379e+00
76 8.0556552099e+06 1.9399925063e+00 1.8344653629e+01 1.0110089391e+04 1.3961173336e+00
77 7.8054756438e+06 1.9599924464e+00 1.9130929812e+01 1.0196302509e+04 1.4017151512e+00
