 age(yr) mass(M_sun) logL(L/L_sun) logT(K) logR(R/R_sun) phase
0 1499806898.0407712 0.09999974839038983 -2.9447223264590816 3.4828949930045714 -0.9154739970565696 0.0
1 805364852.9568225 0.14999963688498974 -2.497854756691914 3.5184921499353368 -0.7632345260345179 0.0
2 607745227.5281404 0.19999952304716664 -2.2298850027321238 3.5397202444738163 -0.6717058381315802 0.0
3 459095416.7547793 0.2499994294756793 -2.053068447348388 3.548854006877403 -0.601565085246886 0.0
4 413692506.5922673 0.2999993149842075 -1.9152371683711824 3.555047922622145 -0.5450372772477667 0.0
5 385461359.92988455 0.3099993014596773 -1.8902971785643328 3.5562666335205275 -0.535004704141108 0.0
6 199515008.3899534 0.3199993694856457 -1.8596773972109315 3.5573711580236718 -0.5219038624706951 0.0
7 194176264.4372574 0.3299993494224337 -1.834355220765536 3.5587102007870826 -0.51192085977482 0.0
8 183212298.24179208 0.3399993323746345 -1.8068504760020376 3.560137129361648 -0.501022344542201 0.0
9 179003184.01662204 0.3499993116370808 -1.7803073975400896 3.5616128485664063 -0.4907022437207431 0.0
10 179681648.8089267 0.35999928741697484 -1.7546196742409197 3.5631200523129385 -0.480872789564223 0.0
11 172874091.4169013 0.3699992678870836 -1.7261886971538636 3.564748444348826 -0.4699140850924705 0.0
12 173855707.05692166 0.3799992425810136 -1.699722192027763 3.5663995918366767 -0.4599831275051204 0.0
13 167247017.5853485 0.3899992225108848 -1.6700837026882414 3.5682300622376637 -0.4488248236373329 0.0
14 164412390.15081242 0.3999991993061421 -1.6411309319518033 3.5701311464946617 -0.4381506067831111 0.0
15 157732884.70179963 0.4499990680167819 -1.4932673516619923 3.581183993229156 -0.3863245101071936 0.0
16 148577716.01368457 0.4999989196569696 -1.3441730832652836 3.5944820761508174 -0.3383735417521611 0.0
17 132457251.3613738 0.5499987662242474 -1.1947556898185288 3.6101229385236806 -0.29494656977451245 0.0
18 108302124.2687316 0.5999986317009934 -1.0400725037566454 3.62960913191996 -0.2565773635361289 0.0
19 86345405.60602885 0.6499985076766357 -0.8854785038289562 3.6529896159535866 -0.226041331639538 0.0
20 70693503.12072894 0.699998377432125 -0.7348680615884723 3.678406282563485 -0.20156944373909244 0.0
21 60142989.26184474 0.7499982313673422 -0.5954050132088191 3.701323854234417 -0.17767306289113008 0.0
22 53563781.205291 0.7999980562529414 -0.4657960040196384 3.7214795111048176 -0.1531798720373406 0.0
23 47216270.93836185 0.8499978805417275 -0.3420481688015631 3.739721390694255 -0.12778971360717686 0.0
24 41957465.60661435 0.8999976920281046 -0.22670071649883536 3.755578083800072 -0.10182937366744793 0.0
25 40969663.04158832 0.9199975928295052 -0.18336426870590208 3.761184005133096 -0.09137299243702812 0.0
26 38078849.354283415 0.9399975390808342 -0.14032835686083106 3.766660531223604 -0.0808080886955093 0.0
27 36807909.53843254 0.9599974466151856 -0.09939060445990211 3.771670025703644 -0.07035820145512413 0.0
28 34867081.19121452 0.9799973739270158 -0.05890725949399096 3.776531258060999 -0.05983899368687945 0.0
29 33003245.229845043 0.9999973024009468 -0.01939903335129769 3.781163788217973 -0.04934994092948151 0.0
30 31735113.565932274 1.019997212635123 0.01897342864517632 3.7855006801275306 -0.038837493750359935 0.0
31 29347412.2798968 1.0399971700324642 0.05731211990504776 3.789909006473744 -0.028484800812851093 0.0
32 28416414.14373945 1.059997071827396 0.0939227132086428 3.793868156479124 -0.0180978041718126 0.0
33 26671226.565842167 1.0799970136630046 0.13043938416481154 3.7978909244628114 -0.007885004661102238 0.0
34 25156151.376652576 1.0999969507777592 0.16636004670890064 3.8018068587302616 0.002243458076040721 0.0
35 24180817.57322179 1.1199968625835637 0.20104779874376616 3.805486954153788 0.012227143246420666 0.0
36 22645270.83304145 1.1399968126718716 0.2359326808737328 3.8092474341020073 0.02214862441496569 0.0
37 22001471.312203966 1.15999671014294 0.2692288773920795 3.8127349654095366 0.03182166005908082 0.0
38 20740405.08624728 1.17999665365025 0.3023724197892104 3.8162943059254153 0.041274750225888834 0.0
39 19777775.99083544 1.1999965812623377 0.3349347400683755 3.819762319162983 0.05061988389033651 0.0
40 18883303.48903461 1.2199965083121338 0.3669003161315421 3.8231813646757344 0.059764580896415676 0.0
41 18418666.00548428 1.2399963997021122 0.39847849430173016 3.8266265972999407 0.0686632047330969 0.0
42 17399322.92408691 1.2599963478112055 0.42906115639640097 3.8299495377085018 0.07730865496331059 0.0
43 16704765.816003906 1.2799962688829778 0.4595674331024137 3.8333513891382975 0.08575809045672642 0.0
44 16082093.335537575 1.2999961861610845 0.4894839308423534 3.83677942621984 0.0938602651636099 0.0
45 19941744.556486744 1.3199955035085087 0.5630186595060267 3.8515318134649377 0.10112285500525137 0.0
46 19182602.661752217 1.3399954047392215 0.5941096094328258 3.856760100343009 0.10621175621251024 0.0
47 18403433.12505962 1.3599953163632128 0.6245317954081442 3.8622058115493534 0.11053142678747782 0.0
48 17543795.580687065 1.379995251332338 0.6547021484531139 3.86778529949718 0.11445762741431095 0.0
49 17063276.14785406 1.3999951296630484 0.6828213997941868 3.8741710575398094 0.1157457369995876 0.0
50 16317446.66722506 1.4199950636959335 0.7118379052196804 3.880177673473276 0.11824075784540218 0.0
51 15800098.840975352 1.4399949622305357 0.7389275973157301 3.8865402571407297 0.11906043655852025 0.0
52 15266490.882358102 1.4599948705383157 0.7657423544161195 3.892739410077053 0.12006950923606792 0.0
53 14871233.877059488 1.4799947544729344 0.7906011281034394 3.898911568731085 0.12015457877166305 0.0
54 14347929.598840913 1.4999946722897874 0.8165896762263491 3.904802766208632 0.12136645787802525 0.0
55 13978322.987933842 1.5199945594715265 0.8402874491345586 3.9106363670853495 0.12154814257869435 0.0
56 13612993.579741687 1.5399944491657576 0.8635519119842 3.916295081898195 0.1218629443778243 0.0
57 13095632.76648418 1.5599943829008835 0.8888884255513546 3.921817462510937 0.12348643993591725 0.0
58 12690547.359896176 1.57999429302273 0.9123484189705776 3.9272096899619258 0.12443198174355052 0.0
59 12557809.443323098 1.599994130438481 0.9307148205272499 3.932246467682092 0.12354162708155332 0.0
60 12207091.136919515 1.6199940322082835 0.9527420353313956 3.937319642357064 0.124408885133682 0.0
61 11779003.45222542 1.639993962486944 0.976014273228333 3.9423905650470186 0.12590315870224342 0.0
62 11397068.813458405 1.6599938846905575 0.9984052610972398 3.9473157665875407 0.12724824955565148 0.0
63 11086919.677181156 1.6799937886147578 1.0193672439174035 3.9520555961916655 0.12824958175748352 0.0
64 10851843.434292816 1.6999936708320371 1.0385540970686071 3.9565470571911634 0.12886008633409093 0.0
65 10574990.202677058 1.7199935707193506 1.0586555302664744 3.961044783646264 0.12991535002282334 0.0
66 10388239.81215564 1.7399934411726117 1.0769844906475792 3.965264743372256 0.13063991076139114 0.0
67 10159649.356884602 1.759993329305236 1.0960190614264376 3.9694786753368545 0.13172933222162445 0.0
68 9817782.625257438 1.779993265999961 1.11678270629618 3.973859461837757 0.13334958165468852 0.0
69 9547578.162947888 1.7999931795554958 1.1363952754467552 3.9780622834165342 0.13475022307242374 0.0
70 9266624.819437582 1.8199931022551936 1.1559806709261098 3.982190546736211 0.13628639417274593 0.0
71 9044416.712242404 1.83999300401318 1.1744691367147266 3.986142441978149 0.1376268365831792 0.0
72 8932917.930808501 1.8599928579629672 1.191162021390724 3.989787498116264 0.13868316664494734 0.0
73 8602503.3201385 1.8799928172820013 1.2110858271851856 3.993847873406565 0.14052431896157694 0.0
74 8485128.742489194 1.8999926785845127 1.227711913570383 3.9973923326147216 0.1417484437378612 0.0
75 8196981.185117916 1.9199926282466184 1.2467153070865291 4.001262153046029 0.14351049963332 0.0
76 8055655.20988909 1.93999250626952 1.2635095161336287 4.00475499555556 0.14492191913780794 0.0
77 7805475.643788855 1.959992446356954 1.2817360783664982 4.0084427118513934 0.14665976766257593 0.0
78 7690781.411268724 1.9799923152056145 1.298010714028602 4.011775821122456 0.1481308669515019 0.0
79 7524873.480172441 1.999992215253125 1.3148901060498064 4.015204701010955 0.1497128031851074 0.0
80 7273677.538874067 2.019992170251952 1.3326507074105785 4.018745868121007 0.15151076964538954 0.0
81 7134502.12898101 2.039992061667864 1.3489038853133115 4.022018170785471 0.1530927532678273 0.0
82 7000235.866779879 2.0599919522077914 1.365075860553708 4.025228903080388 0.15475727629819266 0.0
83 6861098.058586133 2.0799918485855837 1.3812114277202108 4.028432829115793 0.15641720781063131 0.0
84 6783415.919363709 2.099991705608474 1.396858944957024 4.031508867844238 0.1580888889721492 0.0
85 6498238.373049908 2.119991709674683 1.41385131727668 4.034855795124751 0.15989122057095212 0.0
86 6365618.597165554 2.1399916118036213 1.429462956805844 4.037914925520405 0.161578779544225 0.0
87 6244368.711503821 2.1599915082107697 1.444933580342143 4.040928259199516 0.16328742395415274 0.0
88 6154496.660574594 2.1799913827920667 1.4600800834466243 4.043869900527091 0.16497739285124394 0.0
89 6113156.726927405 2.199991220014827 1.4750435961286557 4.0467469714633095 0.16670500731982213 0.0
90 5983038.081284604 2.219991129235439 1.4902054312901731 4.049675000111505 0.16842986760418793 0.0
91 5854324.268717479 2.2399910407063865 1.5051837628154032 4.052551747280504 0.17016553902880624 0.0
92 5732211.184135399 2.2599909495308546 1.5200435479242715 4.055401729064776 0.17189546801469324 0.0
93 5527755.157664889 2.2799909356070405 1.5350336864542709 4.058260041766282 0.17367391187668607 0.0
94 5395031.864716345 2.299990863246816 1.5496677047353085 4.061050398256444 0.17541020803688062 0.0
95 5356915.001867792 2.3199907051577027 1.563839924972526 4.063717231256497 0.17716265215538152 0.0
96 5237071.9746064935 2.3399906259435226 1.578147599644748 4.066425629733476 0.17889969253753552 0.0
97 5113795.9719711915 2.359990554179378 1.5922492466603864 4.069086019345318 0.1806297368216717 0.0
98 5007957.314444292 2.379990468672044 1.6062915649767855 4.071737211726992 0.18234851121652146 0.0
99 4881974.615919748 2.3999904070771665 1.6201686649503233 4.074331175868068 0.18409913292114008 0.0
100 4830538.972731505 2.4199902693747024 1.6337888829349112 4.076869717133563 0.18583215938244446 0.0
101 4714691.755159496 2.4399902040111563 1.647456967894537 4.079417102458812 0.18757143121175854 0.0
102 4608534.486896372 2.459990131874347 1.6609987680775873 4.081939443170334 0.1892976498802384 0.0
103 4589234.9687935235 2.4799899610738465 1.6741556655585164 4.08437160622818 0.1910117725050122 0.0
104 4473316.823899117 2.499989905717937 1.687403575347513 4.086821810214088 0.19273531942769365 0.0
105 4303864.436955415 2.519989921674059 1.7008221828259882 4.089317518322502 0.1944532069501028 0.0
106 4207266.613965089 2.539989853663504 1.7139064590571638 4.0917366377497935 0.19615710621110807 0.0
107 4185082.25650944 2.5599896913872904 1.7264314040930926 4.094025317819134 0.19784221859039214 0.0
108 4170480.310317969 2.579989517789524 1.7391042318528167 4.09633066008119 0.19956794794614247 0.0
109 4044208.485821777 2.5999894970341977 1.7517551555098894 4.098653588321733 0.20124755329359212 0.0
110 3908211.270032231 2.6199894963044 1.7645083502804508 4.1010081453096285 0.2029150367030804 0.0
111 3822368.1536896364 2.639989429883583 1.7770962544538913 4.103302633227095 0.20462001295486826 0.0
112 3787434.79997218 2.6599892912003646 1.789107779435123 4.105479134748268 0.2062727724031392 0.0
113 3719030.051508311 2.679989204094107 1.8012767187580174 4.107692402014292 0.20793070753253684 0.0
114 3685099.588694246 2.6999890654610144 1.813276361242376 4.109858409429427 0.20959851394444665 0.0
115 3643915.0263372418 2.7199889385921843 1.8252455863796564 4.112022836843574 0.21125427168479294 0.0
116 3509115.9794942257 2.7399889656209075 1.8373459139493835 4.114229172059854 0.21289176503709564 0.0
117 3460923.39029046 2.759988856177904 1.849160890357102 4.1163529992660335 0.21455159882859728 0.0
118 3368297.3378377524 2.779988824415415 1.8610346055451448 4.118506066525836 0.21618232190301528 0.0
119 3299367.836863429 2.7999887556705425 1.87279144425553 4.120614989493741 0.21784289532239728 0.0
120 2858319.9580689888 2.999987731223236 1.9833659817560136 4.140273987069797 0.23381216892052714 0.0
121 2390781.462204126 3.199986984010021 2.0867614473925027 4.158491985214476 0.2490739054494141 0.0
122 2065167.6021992725 3.3999860870690366 2.182728413290054 4.175193619587748 0.2636541196516421 0.0
123 1780047.986176519 3.599985255254245 2.2728968234151408 4.190771918110197 0.2775817276692913 0.0
124 1579774.359900058 3.799984261888744 2.3568305493016695 4.205118061075472 0.2908563046820049 0.0
125 1384520.2849995738 3.9999834006338606 2.436584417698708 4.218703128855315 0.3035631033208375 0.0
126 1242508.881327686 4.199982386715345 2.5117413125661048 4.23141941309775 0.31570898226966754 0.0
127 1114919.2346484768 4.399981409611224 2.582893196512224 4.243387489638623 0.3273487711609783 0.0
128 1006529.9987463215 4.599980379489248 2.6502875450171075 4.254654255953614 0.33851241278343885 0.0
129 920966.0027199598 4.79997927089562 2.7144925265068585 4.2653486614194565 0.3492260925966293 0.0
130 821151.7663181864 4.999978430801285 2.7762060203641536 4.275634443150786 0.3595112760626174 0.0
131 760392.2466840737 5.199977269455289 2.8346238154228875 4.285249945301664 0.3694891692902287 0.0
132 689037.4904318006 5.399976348504003 2.8910020712760134 4.294567266749511 0.379043654321098 0.0
133 635338.0852305533 5.5999752917069845 2.944810949524466 4.303396245489416 0.3882901359655159 0.0
134 578591.0165868644 5.799974386717649 2.996720194737552 4.3119086417628125 0.39721996602526416 0.0
135 546299.5454586134 5.999973138884336 3.0460711538256406 4.319930593576219 0.4058515419424976 0.0
136 509187.5243365607 6.199972054374632 3.093793629422237 4.327685930670619 0.414202105551994 0.0
137 461990.28494623385 6.399971283823091 3.1404721112980583 4.3353038705825435 0.4223054666660577 0.0
138 429017.4026786653 6.599970301032273 3.185067811514347 4.342528354231617 0.43015434947605213 0.0
139 404186.6883321271 6.799969181990124 3.2278424815656006 4.349419052941473 0.43776028708196824 0.0
140 378424.1769699375 6.9999681580045605 3.2694095046457723 4.356113454478902 0.4451549955471961 0.0
141 361042.652402293 7.199966949855144 3.3092597068915657 4.362487048345024 0.4523329089378479 0.0
142 338198.7384877514 7.399965969578755 3.348267653523913 4.368747939508352 0.4593150999273663 0.0
143 320958.6963050037 7.599964848705293 3.3858899119451134 4.37475565187658 0.4661108044015104 0.0
144 304110.09602982533 7.7999637824776835 3.4224142119647007 4.380572435349022 0.4727393874664207 0.0
145 281434.4357134194 7.9999630325321505 3.4584262386542832 4.386351646902392 0.4791869777044705 0.0
146 222706.43180725415 8.999953923014543 3.6212704852971704 4.412101750858841 0.5091088931130172 0.0
